player,player_team,opponent_team,runs_batter,balls_faced,strike_rate,role,runs_bowler,bowler_wicket,ball_no,overs,economy
AB Dinda,Kolkata Knight Riders,Sunrisers Hyderabad,2.0,2.0,100.0,batter,,,,,
AB Dinda,Other,Chennai Super Kings,2.0,2.0,100.0,batter,,,,,
AB Dinda,Other,Punjab Kings,2.0,5.0,40.0,batter,,,,,
AB Dinda,Other,Royal Challengers Bengaluru,7.0,6.0,116.66666666666667,batter,,,,,
AB Dinda,Other,Sunrisers Hyderabad,0.0,3.0,0.0,batter,,,,,
AB Dinda,Rising Pune Supergiants,Delhi Capitals,7.0,7.0,100.0,batter,,,,,
AB Dinda,Royal Challengers Bengaluru,Mumbai Indians,2.0,4.0,50.0,batter,,,,,
AB Dinda,Royal Challengers Bengaluru,Punjab Kings,2.0,5.0,40.0,batter,,,,,
AB Dinda,Royal Challengers Bengaluru,Rajasthan Royals,0.0,3.0,0.0,batter,,,,,
AB McDonald,Delhi Capitals,Chennai Super Kings,8.0,7.0,114.28571428571428,batter,,,,,
AB McDonald,Delhi Capitals,Mumbai Indians,33.0,31.0,106.4516129032258,batter,,,,,
AB McDonald,Delhi Capitals,Rajasthan Royals,14.0,9.0,155.55555555555557,batter,,,,,
AB McDonald,Delhi Capitals,Royal Challengers Bengaluru,21.0,16.0,131.25,batter,,,,,
AB McDonald,Royal Challengers Bengaluru,Delhi Capitals,30.0,21.0,142.85714285714286,batter,,,,,
AB McDonald,Royal Challengers Bengaluru,Punjab Kings,17.0,16.0,106.25,batter,,,,,
AB de Villiers,Delhi Capitals,Chennai Super Kings,133.0,80.0,166.25,batter,,,,,
AB de Villiers,Delhi Capitals,Kolkata Knight Riders,47.0,44.0,106.81818181818181,batter,,,,,
AB de Villiers,Delhi Capitals,Mumbai Indians,92.0,79.0,116.45569620253164,batter,,,,,
AB de Villiers,Delhi Capitals,Punjab Kings,18.0,24.0,75.0,batter,,,,,
AB de Villiers,Delhi Capitals,Rajasthan Royals,164.0,141.0,116.31205673758865,batter,,,,,
AB de Villiers,Delhi Capitals,Royal Challengers Bengaluru,115.0,112.0,102.67857142857142,batter,,,,,
AB de Villiers,Delhi Capitals,Sunrisers Hyderabad,102.0,92.0,110.86956521739131,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Chennai Super Kings,399.0,274.0,145.6204379562044,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Delhi Capitals,588.0,361.0,162.8808864265928,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Kolkata Knight Riders,475.0,293.0,162.11604095563138,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Mumbai Indians,699.0,455.0,153.62637362637363,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Other,436.0,235.0,185.53191489361703,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Punjab Kings,718.0,449.0,159.9109131403118,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Rajasthan Royals,488.0,302.0,161.58940397350995,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Rising Pune Supergiants,116.0,87.0,133.33333333333331,batter,,,,,
AB de Villiers,Royal Challengers Bengaluru,Sunrisers Hyderabad,591.0,383.0,154.30809399477806,batter,,,,,
AC Blizzard,Mumbai Indians,Delhi Capitals,37.0,26.0,142.30769230769232,batter,,,,,
AC Blizzard,Mumbai Indians,Kolkata Knight Riders,51.0,30.0,170.0,batter,,,,,
AC Blizzard,Mumbai Indians,Other,6.0,6.0,100.0,batter,,,,,
AC Blizzard,Mumbai Indians,Punjab Kings,15.0,10.0,150.0,batter,,,,,
AC Blizzard,Mumbai Indians,Royal Challengers Bengaluru,10.0,11.0,90.9090909090909,batter,,,,,
AC Blizzard,Mumbai Indians,Sunrisers Hyderabad,1.0,7.0,14.285714285714285,batter,,,,,
AC Gilchrist,Punjab Kings,Chennai Super Kings,92.0,67.0,137.3134328358209,batter,,,,,
AC Gilchrist,Punjab Kings,Delhi Capitals,108.0,83.0,130.12048192771084,batter,,,,,
AC Gilchrist,Punjab Kings,Kolkata Knight Riders,105.0,105.0,100.0,batter,,,,,
AC Gilchrist,Punjab Kings,Mumbai Indians,33.0,37.0,89.1891891891892,batter,,,,,
AC Gilchrist,Punjab Kings,Other,59.0,67.0,88.05970149253731,batter,,,,,
AC Gilchrist,Punjab Kings,Rajasthan Royals,97.0,68.0,142.64705882352942,batter,,,,,
AC Gilchrist,Punjab Kings,Royal Challengers Bengaluru,191.0,110.0,173.63636363636363,batter,,,,,
AC Gilchrist,Punjab Kings,Sunrisers Hyderabad,164.0,130.0,126.15384615384615,batter,,,,,
AC Gilchrist,Sunrisers Hyderabad,Chennai Super Kings,163.0,109.0,149.54128440366972,batter,,,,,
AC Gilchrist,Sunrisers Hyderabad,Delhi Capitals,213.0,114.0,186.8421052631579,batter,,,,,
AC Gilchrist,Sunrisers Hyderabad,Kolkata Knight Riders,166.0,121.0,137.19008264462812,batter,,,,,
AC Gilchrist,Sunrisers Hyderabad,Mumbai Indians,201.0,128.0,157.03125,batter,,,,,
AC Gilchrist,Sunrisers Hyderabad,Punjab Kings,141.0,94.0,150.0,batter,,,,,
AC Gilchrist,Sunrisers Hyderabad,Rajasthan Royals,158.0,124.0,127.41935483870968,batter,,,,,
AC Gilchrist,Sunrisers Hyderabad,Royal Challengers Bengaluru,178.0,138.0,128.9855072463768,batter,,,,,
AC Thomas,Other,Chennai Super Kings,1.0,2.0,50.0,batter,,,,,
AC Thomas,Other,Mumbai Indians,0.0,2.0,0.0,batter,,,,,
AC Thomas,Other,Royal Challengers Bengaluru,7.0,6.0,116.66666666666667,batter,,,,,
AC Thomas,Other,Sunrisers Hyderabad,12.0,9.0,133.33333333333331,batter,,,,,
AC Voges,Rajasthan Royals,Chennai Super Kings,20.0,19.0,105.26315789473684,batter,,,,,
AC Voges,Rajasthan Royals,Delhi Capitals,15.0,17.0,88.23529411764706,batter,,,,,
AC Voges,Rajasthan Royals,Kolkata Knight Riders,45.0,29.0,155.17241379310346,batter,,,,,
AC Voges,Rajasthan Royals,Mumbai Indians,28.0,27.0,103.7037037037037,batter,,,,,
AC Voges,Rajasthan Royals,Punjab Kings,45.0,24.0,187.5,batter,,,,,
AC Voges,Rajasthan Royals,Royal Challengers Bengaluru,28.0,27.0,103.7037037037037,batter,,,,,
AD Hales,Sunrisers Hyderabad,Chennai Super Kings,2.0,9.0,22.22222222222222,batter,,,,,
AD Hales,Sunrisers Hyderabad,Delhi Capitals,59.0,41.0,143.90243902439025,batter,,,,,
AD Hales,Sunrisers Hyderabad,Rajasthan Royals,45.0,39.0,115.38461538461537,batter,,,,,
AD Hales,Sunrisers Hyderabad,Royal Challengers Bengaluru,42.0,29.0,144.82758620689654,batter,,,,,
AD Mascarenhas,Punjab Kings,Kolkata Knight Riders,9.0,11.0,81.81818181818183,batter,,,,,
AD Mascarenhas,Punjab Kings,Other,5.0,5.0,100.0,batter,,,,,
AD Mascarenhas,Punjab Kings,Sunrisers Hyderabad,5.0,5.0,100.0,batter,,,,,
AD Mascarenhas,Rajasthan Royals,Chennai Super Kings,8.0,8.0,100.0,batter,,,,,
AD Mascarenhas,Rajasthan Royals,Delhi Capitals,12.0,11.0,109.09090909090908,batter,,,,,
AD Mascarenhas,Rajasthan Royals,Kolkata Knight Riders,27.0,28.0,96.42857142857143,batter,,,,,
AD Mascarenhas,Rajasthan Royals,Mumbai Indians,9.0,7.0,128.57142857142858,batter,,,,,
AD Mascarenhas,Rajasthan Royals,Punjab Kings,4.0,2.0,200.0,batter,,,,,
AD Mascarenhas,Rajasthan Royals,Royal Challengers Bengaluru,0.0,1.0,0.0,batter,,,,,
AD Mathews,Delhi Capitals,Kolkata Knight Riders,51.0,40.0,127.49999999999999,batter,,,,,
AD Mathews,Delhi Capitals,Mumbai Indians,29.0,18.0,161.11111111111111,batter,,,,,
