bowler,season,runs_bowler,bowler_wicket,ball_no,overs,bowling_average,economy,strike_rate
Aman Hakim Khan,2022,13,0,6,1.0,13.0,13.0,6.0
Anand Rajan,2011,50,3,35,5.833333333333333,16.666666666666668,8.571428571428571,11.666666666666666
Anand Rajan,2012,109,3,76,12.666666666666666,36.333333333333336,8.605263157894738,25.333333333333332
Anand Rajan,2013,42,2,51,8.5,21.0,4.9411764705882355,25.5
Ankit Sharma,2012,165,4,147,24.5,41.25,6.73469387755102,36.75
Ankit Sharma,2013,17,0,12,2.0,17.0,8.5,12.0
Ankit Sharma,2014,43,4,48,8.0,10.75,5.375,12.0
Ankit Sharma,2015,114,3,86,14.333333333333334,38.0,7.953488372093023,28.666666666666668
Ankit Sharma,2016,84,1,70,11.666666666666666,84.0,7.2,70.0
Ankit Sharma,2017,16,0,6,1.0,16.0,16.0,6.0
Ankit Sharma,2018,11,0,6,1.0,11.0,11.0,6.0
Ankit Soni,2017,144,2,112,18.666666666666668,72.0,7.7142857142857135,56.0
Anureet Singh,2009,47,2,34,5.666666666666667,23.5,8.294117647058822,17.0
Anureet Singh,2015,465,15,322,53.666666666666664,31.0,8.664596273291925,21.466666666666665
Anureet Singh,2016,43,0,38,6.333333333333333,43.0,6.7894736842105265,38.0
Anureet Singh,2017,26,0,12,2.0,26.0,13.0,12.0
Anureet Singh,2018,42,1,24,4.0,42.0,10.5,24.0
Arjun Tendulkar,2023,92,3,68,11.333333333333334,30.666666666666668,8.117647058823529,22.666666666666668
Arjun Tendulkar,2024,22,0,15,2.5,22.0,8.8,15.0
Arshad Khan,2023,190,5,97,16.166666666666668,38.0,11.752577319587628,19.4
Arshad Khan,2024,90,1,56,9.333333333333334,90.0,9.642857142857142,56.0
Arshad Khan,2025,217,6,136,22.666666666666668,36.166666666666664,9.573529411764705,22.666666666666668
Arshad Khan (2),2024,24,0,13,2.1666666666666665,24.0,11.076923076923078,13.0
Arshdeep Singh,2019,109,3,65,10.833333333333334,36.333333333333336,10.061538461538461,21.666666666666668
